"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Burkina Faso","BFA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","80","80","80","90","90","90","90","90","90","110","140","160","170","170","200","250","300","300","280","240","210","210","240","270","330","330","330","360","320","280","230","230","250","250","250","","","","","","","","","","","","","","","","","700","660","680","760","790",
"Bangladesh","BGD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","120","160","210","200","170","170","190","230","260","250","230","220","230","250","280","290","300","320","320","330","320","320","340","370","400","420","420","440","440","440","460","510","550","570","610","660","730","800","890","970","1040","1110","1220","1370","1520","1750","1940",
"Bulgaria","BGR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","2360","2090","2010","1950","2190","2720","3110","2830","2250","1620","1430","1250","1240","1520","1590","1460","1440","1480","1660","1770","1970","2370","3060","3800","4300","4810","6070","6670","6940","7220","7430","7590","7740","7450","7430","7640","8910","9410",
"Bahrain","BHR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","8520","9150","9310","7900","7230","7700","7800","7660","9070","9800","9890","10030","9680","10380","10790","10310","10070","9870","10940","11500","12060","12940","14570","16550","17890","19660","20860","18830","18970","18160","22010","23790","24070","22660","21610","21180","21900","22110",
"Bahamas, The","BHS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1550","1650","1760","1900","2040","2230","2450","2760","2920","3110","3190","3740","3840","4640","3120","3360","3720","5200","6050","5790","6360","6640","7700","8510","9400","10800","11710","12440","11870","11330","11550","11310","11600","14260","15930","14650","17630","24190","25940","26560","27190","27760","29270","30570","30760","31090","30960","29010","28370","28030","29020","28380","27720","28300","28910","29930","30520","31780",
"Bosnia and Herzegovina","BIH","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","1010","1330","1400","1490","1600","1770","2040","2590","3180","3510","3920","4730","4970","4950","5010","4990","5270","5300","5210","5130","5110","5740","6150",
"Belarus","BLR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1790","1600","1450","1360","1450","1530","1550","1400","1380","1300","1380","1630","2170","2810","3520","4310","5500","5700","6150","6260","6610","7010","7590","6710","5620","5300","5700","6280",
"Belize","BLZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","330","340","350","370","390","420","420","420","420","450","520","600","730","840","800","850","930","1120","1420","1430","1290","1150","1160","1200","1350","1610","1870","2080","2260","2420","2680","2790","2770","2860","2880","2890","2780","2880","3150","3130","3200","3420","3560","3620","3740","3670","3880","4050","3880","4050","4100","4180","4230","4400","4340","4310","4450","4450",
"Bermuda","BMU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","2170","2160","2360","2460","2830","3210","3240","3340","3570","4010","4550","5430","6490","7570","8290","8960","9680","10700","12790","14120","13710","14820","16510","17870","21170","24040","26620","26500","27060","27400","29000","30890","31730","34290","","","","","","","","","","","","117640","120490","111580","110440","107530","106080","106140","","","","","","",
"Bolivia","BOL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","550","580","650","760","820","900","860","840","850","840","740","720","710","720","720","740","770","790","810","850","900","950","990","980","980","950","920","910","950","1020","1110","1220","1480","1620","1780","1990","2250","2590","2830","2960","3040","3090","3370","3530",
"Brazil","BRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","280","310","370","410","450","510","590","760","980","1180","1360","1490","1680","1970","2200","2090","2010","1730","1630","1580","1800","2050","2260","2760","2730","3280","3170","3090","3030","3760","4460","5020","4840","4120","3930","3350","3090","2980","3340","4000","4850","6190","7620","8320","9650","11080","12310","12790","12120","10190","8920","8700","9080","9130",
"Barbados","BRB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5910","6690","7430","7860","7600","7570","7460","7690","8010","8340","8700","9050","9420","9820","10780","10630","10650","11300","12290","13240","14220","15530","16180","15730","15540","15050","15720","15660","15630","15740","15920","16070","16700","17380",
"Brunei Darussalam","BRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12090","12460","13580","15160","15030","15090","15680","16210","16220","14420","14040","14680","16070","17140","17810","19990","23090","27580","30930","34150","32460","33300","35520","42370","45320","43090","38850","33170","29800","29390","32230",
"Bhutan","BTN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","290","270","300","300","350","490","550","570","580","500","470","440","470","490","530","580","550","580","730","770","810","910","1030","1200","1330","1640","1770","1860","2040","2240","2390","2410","2460","2520","2650","2800","2970","",
"Botswana","BWA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","90","90","100","100","120","140","160","200","260","350","440","520","540","580","690","890","1110","1340","1290","1170","1090","1070","1150","1340","1980","2320","2720","3070","3270","3330","2960","3260","3180","3330","3210","3150","3170","3260","2930","3370","3920","4940","5440","5730","5740","5330","5610","6610","7260","7580","7530","6840","6570","6730","7410","7660",
"Central African Republic","CAF","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","80","80","80","90","90","100","100","110","110","110","120","140","170","190","210","240","280","310","360","350","340","270","270","290","340","420","490","490","480","480","470","450","370","350","300","300","280","280","260","260","250","260","300","340","350","380","420","480","510","530","570","380","390","400","410","440","490","520",
"Canada","CAN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","4020","4360","5010","6050","7180","8010","8770","9120","9750","10600","11600","12380","11900","12190","13150","13940","14570","16330","18620","19860","20640","20980","21410","21270","20890","20850","20810","21330","20760","21210","22620","23030","23620","25860","29900","34800","38500","43080","45640","43230","44480","47180","51000","52770","52180","47570","43870","42990","45000","46370",
"Central Europe and the Baltics","CEB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2230.13800236756","2431.29888546927","2705.84984741722","3158.47042069161","3612.27652488394","3820.65325441245","3860.55090103588","3906.83427054178","4083.40999027503","4163.24736981906","4418.27923192584","5178.47710646712","6374.66052696026","7732.28729247383","8864.69479028843","10338.3993759072","12380.9161599972","12751.5409250185","12788.7668991489","12944.0137248425","13110.466210813","13454.1615920809","13593.7994510665","13258.3827874004","12832.1855911548","13030.9911326089","14614.503972969","15796.7719132695",
"Switzerland","CHE","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","5370","7040","9040","10250","10910","12040","14010","17500","21720","21340","19120","17740","17980","18080","20360","25650","33650","35250","36930","37550","40920","40820","41900","45450","48360","48030","44940","43100","43520","40930","39700","45620","53800","61620","63990","62830","63190","70370","77570","79720","84880","88740","86560","85800","82110","81120","84430","85500",
"Channel Islands","CHI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42510","41460","40720","43340","50340","56270","60750","66230","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","580","630","670","670","750","760","780","830","880","1060","1150","1360","1650","1150","1010","1060","1360","1790","2300","2780","2280","1820","1590","1430","1470","1660","1930","2200","2350","2600","3120","3440","3730","4420","5070","5590","5490","5120","5060","4800","4540","4510","5190","6210","7340","8690","10050","9950","10750","12340","14350","15160","14940","14130","13370","13270","14620","15010",
"China","CHN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","70","80","90","100","110","100","90","110","120","130","130","160","180","200","190","190","200","210","220","220","220","220","250","290","310","320","330","320","330","350","390","420","470","540","650","750","800","860","940","1010","1110","1280","1510","1760","2060","2510","3100","3680","4340","5050","5930","6770","7510","7940","8270","8740","9620","10410",
"Cote d'Ivoire","CIV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","160","180","220","210","230","240","270","280","300","300","320","380","480","600","680","780","950","1130","1160","1130","960","720","660","640","730","810","910","830","780","760","780","750","680","700","720","760","760","730","640","590","560","620","770","930","930","960","1070","1160","1190","1120","1230","1330","1450","1660","1840","2030","2180","2290",
"Cameroon","CMR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","110","130","160","170","170","190","210","280","350","340","340","520","630","630","840","850","780","780","800","930","1040","1130","1070","940","890","890","930","890","840","740","720","710","710","670","640","630","730","910","1010","1060","1110","1240","1320","1330","1350","1370","1430","1490","1440","1380","1340","1440","1500",
"Congo, Dem. Rep.","COD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","150","130","120","120","110","130","140","190","170","190","200","230","260","290","300","320","340","380","410","440","460","470","460","500","520",
"Congo, Rep.","COG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","150","150","160","170","180","190","200","220","220","230","270","340","420","500","480","450","490","610","830","1090","1220","1080","1060","990","980","1050","930","940","930","960","1060","800","680","430","470","590","580","490","560","630","670","690","770","950","1180","1350","1790","1880","2120","2120","2390","2490","2590","2420","1820","1510","1680","1750",
