"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Europe & Central Asia","ECS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","1732.62658064466","2196.58694638289","2680.46044114239","3086.52320142558","3262.23370349314","3481.69317265187","3938.06170430567","4869.76464299601","5836.06872375996","5861.7045251554","5365.59002399097","4801.67680961249","4631.33873330406","4616.31322847462","5277.69019772528","6668.52250233915","8550.79683892416","9133.49975043243","9809.02403310786","10418.6268215357","11490.0078222853","11312.9791773133","11503.1096065726","11991.0994774545","12715.190929386","12960.6678916197","12579.2749428554","12454.8897930722","12531.1886181618","12130.9547977868","12057.7927893327","13632.6889484251","16578.2975036271","19223.5424994957","20834.8037010454","22556.5760665283","24557.1008433651","24315.6540250514","24508.4783031689","24985.6803148337","25300.1374641953","25993.2267002203","26017.461437307","24655.7615201465","23342.3385553942","22844.7340759743","24366.3759030307","25163.2136218904",
"Ecuador","ECU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","380","350","380","430","450","460","470","500","520","510","510","600","830","1090","1280","1360","1550","1820","2110","2460","2390","2110","1890","1820","1770","1640","1510","1360","1370","1480","1600","1670","1820","1970","2080","2180","2160","1780","1550","1550","1730","2110","2550","2880","3100","3310","3860","4060","4390","4870","5390","5810","6110","5970","5810","5860","6090","6080",
"Egypt, Arab Rep.","EGY","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","170","180","190","220","240","260","290","300","330","350","370","390","420","490","520","550","560","640","680","740","870","840","780","760","750","750","760","820","920","1020","1130","1210","1310","1420","1430","1360","1290","1230","1230","1320","1530","1840","2120","2370","2590","2830","3040","3230","3360","3460","3040","2800","2690",
"Euro area","EMU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1087.34651003466","1191.99372960922","1313.09016529536","1449.41771467705","1589.09979404052","1725.22111739565","1879.3903852823","2071.57996219961","2269.92014248047","2492.65414926478","2890.38712852805","3709.6687869206","4597.83665297431","5307.72780867397","5631.34402412829","6047.06359884489","6870.50309487046","8521.53036538132","10225.0982566891","10124.5420862242","9172.00923810523","8176.57038158586","7948.509464138","7957.43067427813","9181.59085446659","11729.9313838816","15242.8596864264","16345.1698319208","17622.9516845176","18863.1824248265","21172.921927619","20852.1399269853","21392.0459083447","22520.3814194002","23788.2226939827","23768.6791674227","22739.7835371464","22329.8763702106","22110.9918330884","21202.5360082743","20675.8837969729","23288.6146274749","28284.8918459854","32404.5212200945","34555.3229868298","36718.2035530762","39535.966999419","39639.4971938124","39771.5197370954","40308.2310751711","39277.1661007357","39470.9421787934","39357.0334193762","37739.7965363483","36352.6496308815","35866.7980530976","38763.0763078153","39997.2994774606",
"Eritrea","ERI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270","270","300","320","330","310","300","310","300","300","340","390","410","420","410","480","510","600","","","","","","","","",
"Spain","ESP","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","500","570","640","730","840","930","1010","1110","1170","1310","1590","2090","2730","3240","3430","3640","4040","5010","6210","6310","5680","4860","4580","4550","5400","7110","9410","10700","12210","13700","15610","15010","14470","14830","15560","15820","15440","15480","15770","15520","15590","18030","22070","25870","27820","29740","32190","32460","31880","30950","29520","29210","29130","28430","27530","27060","29320","30390",
"Estonia","EST","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4160","4310","4620","5730","7500","9730","11500","13420","15200","14620","14700","16000","16900","18250","18990","18680","18280","18750","21350","23220",
"Ethiopia","ETH","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","210","200","190","230","280","270","260","260","250","220","210","160","150","150","140","130","120","130","130","120","110","140","160","180","220","280","340","380","390","410","470","550","600","670","740","800","850",
"European Union","EUU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","2406.84106802836","3083.6674232908","3814.5493906398","4408.23459897075","4676.04385486003","5014.04851760816","5686.20065762409","7031.66471835248","8409.31527353629","8321.16026188774","7530.4901499464","6700.63676858239","6507.31283731894","6514.33967114514","7522.5927309602","9599.52816406528","12433.4502020181","13326.8228725736","14354.813002566","15354.1016419614","17227.4072440255","16967.0858782759","17444.489506173","18424.7103950143","19550.5033674472","19612.7700594017","18838.130974747","18549.0749403521","18454.5733322277","17770.0376889816","17441.9958287138","19710.9536203445","23981.1662146626","27596.4015797864","29597.1561585024","31660.8507885822","34388.1949479904","34516.5877024806","34713.6103185601","35202.611594294","34515.962279172","34825.3976555477","34796.2068886545","33418.2671300987","32188.6772518467","31828.3744128324","34489.0039927886","35721.3314562949",
"Fragile and conflict affected situations","FCS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","122.819867653522","128.714086929632","140.947905445992","162.791576859094","172.178746852262","190.322553780391","218.287782220297","296.675528850649","363.947619197295","422.494265163265","445.920629201236","469.202144747198","534.79417247601","615.922254594758","682.686485095129","722.755829963759","714.898312474155","638.820232991125","613.135592030308","598.841769462632","606.233919486495","616.331756290149","541.15328306603","659.37510914586","647.873579771405","651.247821078857","584.882943550532","547.326722608856","565.308838672411","592.401077783884","636.596553372069","631.722172017792","642.442193676573","684.369187832332","741.770986049067","743.051511343877","741.106954115951","865.529176798403","1017.91541826745","1221.09984896855","1458.30697501248","1778.23751867454","1920.21935244051","2090.31555563991","2071.44019401208","2370.87642886953","2470.72090502511","2575.36995291984","2434.34356527194","2222.74631191396","2017.52763572431","2003.12439518675","2081.95554147056",
"Finland","FIN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1370","1470","1620","1810","1970","2060","2090","2270","2460","2690","3170","4030","5130","6320","6840","7190","7910","9540","11450","11980","11700","10840","10790","11130","13010","16480","21540","24110","26000","25100","24170","20680","20170","22030","24970","26680","25820","26040","26450","25810","25550","28720","35270","40170","42800","46160","50070","48800","49600","50150","48940","49480","49390","47150","45490","44740","48300","49580",
"Fiji","FJI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","280","290","300","290","300","340","350","350","400","440","530","720","930","1120","1220","1300","1360","1660","1870","2040","1800","1580","1660","1580","1790","1770","1790","1790","1790","1790","1990","2090","2230","2460","2660","2580","2300","2360","2240","2140","2170","2420","3040","3590","3620","3820","4010","3860","3650","3780","4140","4710","5020","5200","5360","5480","5860","5860",
"France","FRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1550","1700","1870","2030","2200","2360","2560","2820","3020","3250","3670","4690","5790","6720","7140","7810","8830","10820","13080","13190","12040","10450","9820","9770","11330","14460","18520","19490","20640","21420","23840","23580","24380","25740","27110","26930","25830","25420","24970","23840","23090","25930","31360","35870","37850","40130","43460","43930","43850","44350","43380","43780","43320","41100","39070","38340","41080","42400",
"Faroe Islands","FRO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2120","2130","2200","2140","1930","1950","2050","2210","2260","2270","2380","2440","2560","2560","2570","2590","2820","2900","3070","3150","3180","3150","3490","3410","3450","3400","",
"Gabon","GAB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","330","410","340","360","420","440","460","530","570","610","690","910","1700","2870","4450","4010","3090","3520","4590","5290","4840","4260","4310","3860","3840","3430","4150","4580","4820","5170","5120","4430","4130","3910","4100","4270","3940","3280","3090","3420","3600","3870","4300","5510","5740","6580","7310","7570","7830","8110","9090","9330","9330","7970","7080","6510","6830","7210",
"United Kingdom","GBR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","2490","2770","3200","3900","4360","4870","5010","5220","5930","7560","9530","10640","10640","9840","9250","9140","10230","12680","16130","17350","18530","19350","21440","21320","21850","21080","22800","25290","26840","28150","29220","29020","29260","32300","37860","42890","45230","47650","48580","44220","41650","41070","41700","42740","44330","44290","42980","41370","41730","42370",
"Georgia","GEO","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","750","540","510","550","670","820","870","840","790","780","840","990","1210","1520","1910","2380","2820","2950","3210","3520","4150","4530","4740","4410","4080","4040","4460","4740",
"Ghana","GHA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","190","200","210","230","250","240","220","220","250","270","260","280","320","300","290","300","350","380","420","410","360","320","340","350","390","420","440","400","400","410","430","420","370","370","380","390","390","390","340","300","270","320","380","460","590","790","1140","1190","1230","1380","1530","1850","1900","1940","1820","1890","2130","2220",
"Gibraltar","GIB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","400","390","410","420","460","490","500","500","510","510","470","450","400","360","350","340","370","360","400","470","620","670","690","680","700","700","740","760","780","830","850","950",
"Gambia, The","GMB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","110","110","110","110","120","150","180","230","230","240","260","310","380","390","340","300","290","300","300","320","300","300","310","400","520","710","690","690","700","690","660","640","620","560","440","390","470","520","640","700","810","880","890","760","760","730","650","620","620","650","710","740",
"Guinea-Bissau","GNB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","120","130","150","170","150","140","160","180","150","190","200","190","190","200","160","170","180","210","220","240","240","230","220","220","240","240","160","160","210","250","300","330","380","430","440","470","510","560","580","640","630","640","640","640","650","680","750","820",
"Equatorial Guinea","GNQ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","130","130","130","150","170","210","250","230","260","270","380","370","270","250","360","870","700","820","770","900","1270","1190","1720","3890","8110","11600","14250","12530","9970","11540","13870","14030","13230","10850","8270","6510","6650","6460",
"Greece","GRC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","620","700","790","900","1000","1090","1200","1370","1540","1720","2000","2490","2850","3480","3750","3940","4600","5650","6500","6370","5910","5280","5140","5010","5360","6130","7590","8310","8970","9850","11200","11140","11610","12410","13430","14100","13810","13380","13330","13070","13150","15700","19580","22760","24550","26350","28660","29330","27660","24930","23500","22540","22180","20320","18890","18360","19620","20320",
"Grenada","GRD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","1150","1300","1310","1300","1280","1340","1500","1790","2200","2490","2670","2840","3040","3140","3120","3210","3310","3500","3660","3990","4310","4610","4510","4650","5290","5350","6650","6430","6830","7260","6720","6940","7060","7030","7350","7520","7780","8350","8890","9580","9980",
"Greenland","GRL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","1890","2440","3130","3800","4330","5140","6160","7550","9270","9100","8020","7270","6740","7060","8540","11470","15170","16970","15690","16510","17440","16600","17830","19470","20780","20540","20440","19740","20290","19390","18760","20440","25730","30920","30240","34800","","","","","","","","","","","","",
"Guatemala","GTM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","260","280","280","290","290","290","310","330","350","360","390","450","540","610","690","800","920","1080","1210","1240","1170","1110","1130","1160","1070","1020","980","980","930","970","1030","1140","1230","1360","1440","1530","1610","1650","1670","1610","1620","1700","1880","2030","2190","2410","2640","2680","2780","2940","3200","3410","3570","3700","3870","4090","4390","4610",
"Guam","GUM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","280","250","280","310","320","340","330","350","360","380","390","430","540","680","660","610","620","670","760","740","590","510","470","500","520","460","470","360","400","330","390","460","570","670","830","890","880","860","890","880","890","940","1030","1090","1420","1860","2450","2720","2900","3220","3610","3880","4110","4130","4210","4340","4770","5180",
"High income","HIC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1504.36267895892","1595.05861399974","1714.90859369684","1858.60513033981","2024.76385225278","2152.24216848869","2358.31949962512","2563.50245016344","2716.88253107081","2969.35663128768","3405.91980052235","4169.56821027519","4877.96780797917","5453.00629228369","5790.95298626333","6207.00076842464","7075.91068300589","8473.03845133137","9785.412974591","10181.4330785313","9688.09001375299","9301.33330351128","9653.10700188527","10096.7257735202","11362.1902635169","13607.1648231","16554.9054264214","17447.2547656395","18250.8610270655","18985.467894894","20634.6614226275","21110.9899876872","22167.8609742822","23613.5971309717","24752.1447986025","24899.4280002064","23980.4467876339","24266.8293649778","25269.0682562733","25262.3533961874","25110.3779532181","27067.8401178493","30897.2411044196","34052.3787123171","35760.2732408237","37195.637243619","38787.8022992257","38130.2808983288","39159.579017194","40494.7074694655","41848.5332855113","42658.1279295208","42844.7512176743","41649.0854073684","40751.5281597756","41004.0743027538","43815.9974262199","45307.2950996115",
"Hong Kong SAR, China","HKG","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","570","630","700","710","710","740","840","930","1060","1300","1750","2150","2450","2900","3340","3930","4700","5730","6360","6290","5890","6170","6090","7230","9080","10770","11550","12660","14320","16560","19560","21820","23570","24140","26080","25110","25800","26930","26350","25270","26340","28120","28890","30290","32070","33950","32350","33620","35690","36340","38570","40240","41180","42970","46390","50060","50840",
"Honduras","HND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","180","180","190","210","220","230","250","250","260","270","280","320","360","380","410","460","610","830","1090","1090","1020","1000","1080","1160","1260","1410","1410","1270","1110","940","930","950","880","900","870","910","910","930","1020","1040","1060","1120","1200","1280","1350","1480","1600","1630","1720","1870","1970","2000","2000","2060","2120","2250","2320","2390",
"Heavily indebted poor countries (HIPC)","HPC","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","371.24753610451","392.77257135341","369.404840545299","327.673542992479","313.733673328391","314.22162860287","351.730247416049","410.034335549802","433.468628827559","412.38190957611","383.119219506388","366.174890810559","355.051407554921","340.120029849292","308.147792667104","313.308688137369","320.711465315338","329.6117978263","325.494860418204","326.427881658783","326.026288294865","320.286956001907","322.206335579624","343.511721658309","394.038112763735","443.590189959722","486.670621454813","552.195284370803","648.266283970221","704.833087003436","744.321500169187","781.116464860309","828.678359877549","877.759551724444","919.504353302647","926.505504501505","905.094034236116","898.450544676914","928.669984058788","951.802207270682",
"Croatia","HRV","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5520","5410","5170","5220","5320","5610","6670","8520","10160","11310","12700","14270","14110","14070","14000","13420","13550","13260","12970","12380","12640","14010","14910",
"Haiti","HTI","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","250","250","250","240","260","280","320","340","380","370","420","450","390","310","260","310","360","390","400","450","470","450","410","380","380","410","480","550","620","680","660","710","760","810","830","820","780","760","800","790",
"Hungary","HUN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3660","4030","4250","4370","4400","4410","4490","4620","4790","5290","6650","8640","10360","11250","11790","13230","13380","13190","13170","12990","13480","13540","13220","13050","13080","14760","16140",
"IBRD only","IBD","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","197.723653947249","197.110271329721","201.817273795222","219.103081245233","236.345650118431","250.116237282016","269.787233996996","325.696975922653","399.626248768825","465.623417327527","477.517867527788","497.639736862937","541.30916870718","624.697704806247","718.100548940044","772.524853024018","759.853950234623","708.765455366816","702.966632301722","721.196197297497","762.488093520582","821.587043309682","866.74040858895","877.005348751141","923.729288459799","992.545850247653","1045.7550257389","1086.78238519412","1134.59153511678","1225.83697345144","1342.42089824022","1429.25056739303","1385.24966568833","1360.10978854843","1410.91430085681","1420.84570109091","1441.4429791103","1569.31083894952","1824.8932606524","2131.39974412818","2479.34126830588","2947.78619276331","3483.99642770137","3748.72047093763","4188.35470947036","4665.9862463187","5288.61009466552","5721.70652392421","5911.87791848773","5763.24660198141","5657.25006399212","5780.91752703527","6227.07570718315","6584.25228216542",
"IDA & IBRD total","IBT","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","181.935730712968","181.793589807847","186.46686616976","202.40977081264","219.212716696484","231.778320280761","249.674840860915","297.900941561252","366.833232729119","428.079970788155","442.530737282155","460.951512285464","500.143333772867","576.64920372054","663.38991837645","717.824219859312","712.534383154699","670.914942394457","655.078045961085","665.536859285725","697.688113238002","748.665151238603","787.286963332145","789.094526863494","824.126946379926","875.711415184802","917.317803318119","943.649680084543","976.093775800999","1048.80809815299","1144.00003261922","1213.98342730529","1176.42674501961","1154.88660215373","1194.56077165102","1202.41920190529","1219.75846370673","1324.08103790653","1535.7998281845","1786.47199775225","2070.32900015517","2448.36735686942","2884.82196264076","3097.03325238999","3442.27055127112","3813.47540370232","4304.48405159903","4646.8075905924","4799.2527811858","4677.56399888166","4578.17194601717","4653.44979017094","4984.82500829451","5245.93855872545",
"IDA total","IDA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","123.149672740613","138.567886324233","145.541871217613","155.189986469236","165.867234028681","211.332948352732","250.790615685677","277.460962886517","289.156067427615","309.167590051788","355.720339430506","414.177257296023","471.843784799212","503.000163265419","506.730318780674","447.297095328133","425.598606743861","420.280015560944","439.075878517238","452.912045832175","422.529257865397","412.044770003524","400.148537459736","398.904873813561","370.593850445743","347.325764066687","354.560290009479","374.90252604712","389.337277211985","386.454077231275","388.395324821095","396.47001511159","407.589616648403","424.238884142027","455.369373142725","525.043456878307","595.836955255182","676.764121304313","768.45219131488","896.022449284268","962.891318456129","1029.15784777662","1088.32048158","1196.40064620343","1294.67610190745","1375.5054939699","1381.44604341589","1344.53890727791","1317.55257915082","1358.62830554846","1394.29642766284",
"IDA blend","IDB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","104.614029301764","111.613696994805","115.808631407226","122.311435979528","127.397452195669","126.878215953554","134.551477506414","151.411974369309","180.674809911359","190.635140193127","202.480554740274","209.324290334152","268.822509298983","307.918130522598","360.957399179031","391.624420797328","421.906495152138","488.249823573351","573.797888953913","690.832701274275","799.685995567617","856.475963989122","717.790941824565","652.322753277423","596.630017244151","581.852840863905","592.142697844087","543.144155922175","534.841800762906","514.828030076646","516.888775019949","462.573047064321","443.050739995413","451.866460785645","487.108219603074","504.838493725163","492.618721531912","494.455675592808","505.328049767944","530.779949484851","568.462908341341","617.326077405699","725.574373785519","834.211797128441","989.661062684544","1134.72519105765","1326.85205141245","1394.45353573182","1470.3782458152","1548.00760668564","1730.34131135145","1889.69188412052","2035.56012685867","2020.5316083452","1896.29587210879","1777.01470990439","1773.93696735134","1778.97558900599",
"Indonesia","IDN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","70","80","80","90","110","160","220","270","300","360","400","470","530","560","530","520","500","520","510","510","530","560","610","660","740","850","990","1090","1100","660","570","580","720","790","900","1080","1220","1380","1600","1940","2150","2530","3010","3580","3730","3620","3430","3400","3530","3850","4050",
"IDA only","IDX","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","296.602869402688","300.293649988117","325.197197721397","364.438903156612","380.510624469318","360.360756086019","348.185376407881","340.813303933692","337.664568106698","324.271257204621","298.414368940094","304.892654385205","317.256706521432","329.980681560772","332.120680157572","334.112068283558","340.73040079391","344.073330555225","349.340873193839","371.260087159562","420.798241626041","471.892478905521","513.696972253107","577.393284683185","670.845786864698","738.630864157944","800.149760957719","850.556517032442","918.550825151066","983.790259216424","1028.99178239076","1046.28949116595","1057.29292183555","1081.34946316324","1147.73309989392","1201.78314354814",
"Isle of Man","IMN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17050","18800","21310","21880","22480","23730","27810","34210","39590","44420","47210","64640","66890","67430","70480","81160","87860","88990","83980","75570","75340","","",
"India","IND","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","90","100","110","110","110","110","100","110","120","120","120","140","170","190","180","190","210","220","270","290","290","280","280","290","310","350","390","390","380","350","340","320","340","370","400","410","410","440","440","450","460","520","610","710","790","910","1000","1120","1220","1360","1480","1520","1560","1600","1680","1830","2010","2130",
"Not classified","INX","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","2070","2540","2990","3390","3280","3580","4120","5120","6380","6780","6390","5720","5610","5630","6370","8220","10420","11100","12560","13130","14440","14600","15480","16920","18880","20660","21440","22650","24080","24020","24830","29890","37690","44530","47910","50530","50920","46810","44880","41900","40590","43480","46320","50350","52490","53480","59640","62210",
"Iran, Islamic Rep.","IRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","1980","2310","2100","2400","3190","3300","3110","3490","3690","3570","3030","2590","2550","","","","","1310","1580","1780","1800","1720","1760","1790","1880","2200","2520","2960","3480","4270","4970","5560","6250","6870","7130","6990","6500","5370","5500","5420","","",
"Iraq","IRQ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","3930","3460","3050","2360","2540","2750","3050","3530","3720","3720","7050","","","","","","","","","","","","","","","","1900","2430","3540","4160","4580","4960","6310","7050","6830","5930","5620","4880","5060","5740",
"Iceland","ISL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1540","1740","2050","2440","2980","3110","2790","2490","2610","3050","3740","4960","6690","7490","7970","9010","10860","13180","15440","16240","15100","12580","11900","11930","14250","19100","23470","24210","24810","25260","26510","26100","25660","25490","27320","28480","29280","30400","31550","30710","30930","33720","42030","50700","53610","61930","50100","41850","36250","37590","40680","46960","48230","50160","55150","60530","67890","72850",
"Israel","ISR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1320","1330","1310","1440","1470","1480","1730","1910","2030","2290","2760","3170","4250","4860","4740","4610","4810","5610","6070","6720","6590","6600","6520","6500","7080","8480","10410","10920","12120","12870","14390","14760","15660","17010","18280","18870","18710","18400","19140","19220","18550","18630","19900","21410","22300","23950","26120","27260","29660","31500","32220","34310","35960","36030","36360","37420","40930","43290",
"Italy","ITA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","960","1060","1160","1280","1410","1550","1700","1850","2060","2250","2620","3250","3930","4320","4510","4730","5270","6740","8430","8710","8220","7630","7760","8030","9380","12160","15950","17300","18660","20370","22960","21590","20860","20670","21830","22300","22220","21990","21890","21170","20710","23350","28270","32430","34250","35900","37910","37870","37850","37900","36200","35550","34890","32980","31950","31360","33770","34460",
"Jamaica","JAM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","620","650","720","760","980","1020","1180","1370","1370","1450","1430","1300","1210","1290","1340","1330","1130","930","950","1170","1480","1690","1770","1740","1600","1830","1870","2280","2510","2750","2880","3110","3230","3230","3250","3430","3640","3780","4070","4310","4560","4320","4380","4590","4980","5010","4920","4710","4600","4740","4970","5250",
"Jordan","JOR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","950","1200","1470","1830","1940","1910","1800","1800","1760","1930","2120","2120","1520","1270","1090","1280","1310","1360","1440","1450","1470","1500","1560","1700","1760","1800","1930","2180","2350","2530","2770","3120","3380","3480","3570","3690","3800","3870","3900","3930","4020","4200","4300",
"Japan","JPN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","610","690","800","890","1030","1200","1430","1660","1830","2120","2720","3640","4430","5150","5410","5950","7450","9450","10860","11120","10550","10270","10520","11480","13850","18180","24910","27000","27810","28590","30590","33430","36980","42110","43150","40040","34450","33780","36230","36770","34790","35070","38350","40560","39930","38740","38850","38800","43440","46880","49480","48280","43950","38840","37860","38490","41150","41690",
"Kazakhstan","KAZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1430","1310","1280","1340","1390","1390","1290","1270","1360","1530","1810","2300","2930","3860","4980","6150","6790","7440","8280","9940","11840","12080","11380","8770","8040","8070","8810",
"Kenya","KEN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","100","100","110","100","120","120","130","140","130","160","190","200","230","250","250","280","320","390","450","450","390","340","310","310","340","370","410","400","370","350","330","270","260","270","340","390","430","430","410","400","380","400","450","510","580","700","820","900","960","990","1050","1130","1240","1290","1350","1420","1600","1750",
"Kyrgyz Republic","KGZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","520","450","370","360","390","390","360","300","280","280","290","340","400","450","500","610","760","860","850","880","1040","1190","1250","1180","1110","1110","1220","1240",
"Cambodia","KHM","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","250","320","320","290","300","300","310","320","350","400","460","520","590","670","700","750","810","880","970","1020","1060","1140","1230","1380","1480",
"Kiribati","KIR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","870","860","690","660","790","780","590","540","520","550","640","670","720","960","1030","1020","1050","1150","1090","1340","1470","1300","1330","1340","1250","1310","1480","1700","1710","1820","1930","1900","2050","2090","2620","2980","3220","3470","2920","3020","3080","3350",
"St. Kitts and Nevis","KNA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","1370","1670","1850","1940","2010","2240","2510","3070","3690","4390","4660","5220","5260","5710","6190","6710","7310","7690","8080","7830","8280","9250","9700","9780","9700","10840","12210","12670","13200","14850","14620","14690","15440","15470","16610","16490","16410","17080","17220","18340","19030",
"Korea, Rep.","KOR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","120","120","130","130","140","150","190","240","280","310","340","430","550","660","810","970","1280","1680","1870","2030","2050","2170","2340","2480","2850","3530","4520","5380","6450","7570","8310","9010","10090","11820","13320","13550","10330","10430","11030","11950","12850","13790","16200","18520","20800","23440","23860","22040","22290","23590","25660","26980","28160","28720","29330","30300","32610","33720",
